Membership No  Date Joined  Active  
    14588      2017-5-10    no    
    64602      2019-7-16    yes   
    21684      2015-9-16    no    
    38837      2016-5-18    yes   
    78115      2017-9-25    no    
    76660      2020-9-18    no    
    81490      2018-1-9     yes   
    51898      2016-9-10    yes   
    84659      2015-4-7     yes   
    25589      2019-12-12   yes   
    84513      2016-10-16   yes   
    72826      2016-3-4     no    
    60502      2018-8-4     yes   
    82771      2015-11-16   no    
    34673      2018-11-14   no    
    27857      2018-7-11    yes   
    35331      2017-3-18    yes   
    47621      2019-12-5    no    
    90097      2018-12-24   no    
    50920      2019-7-19    no    
