Membership No  Date Joined  Active  
    26103      2017-12-15   no    
    82004      2020-11-19   yes   
    32754      2015-4-6     yes   
    77858      2018-2-4     no    
    74635      2018-2-10    no    
    87337      2016-4-12    no    
    95848      2020-5-16    yes   
    29650      2015-8-21    no    
    15654      2015-4-17    no    
    51370      2019-8-20    yes   
    63497      2015-4-16    yes   
    90109      2019-7-13    yes   
    44279      2015-3-15    no    
    13510      2015-5-4     no    
    73165      2015-12-12   no    
    96444      2020-1-22    no    
    89226      2015-6-4     no    
    44761      2016-6-18    no    
    70194      2019-11-20   no    
    24806      2017-4-6     yes   
